symbol,date,price
Q1,Jan 2000,39.81
Q1,Feb 2000,36.35
Q1,Mar 2000,43.22
Q1,Apr 2000,28.37
Q1,May 2000,25.45
Q1,Jun 2000,32.54
Q1,Jul 2000,28.4
Q1,Aug 2000,28.4
Q1,Sep 2000,24.53
Q1,Oct 2000,28.02
Q1,Nov 2000,23.34
Q1,Dec 2000,17.65
Q1,Jan 2001,24.84
Q1,Feb 2001,24
Q1,Mar 2001,22.25
Q1,Apr 2001,27.56
Q1,May 2001,28.14
Q1,Jun 2001,29.7
Q1,Jul 2001,26.93
Q1,Aug 2001,23.21
Q1,Sep 2001,20.82
Q1,Oct 2001,23.65
Q1,Nov 2001,26.12
Q1,Dec 2001,26.95
Q1,Jan 2002,25.92
Q1,Feb 2002,23.73
Q1,Mar 2002,24.53
Q1,Apr 2002,21.26
Q1,May 2002,20.71
Q1,Jun 2002,22.25
Q1,Jul 2002,19.52
Q1,Aug 2002,19.97
Q1,Sep 2002,17.79
Q1,Oct 2002,21.75
Q1,Nov 2002,23.46
Q1,Dec 2002,21.03
Q1,Jan 2003,19.31
Q1,Feb 2003,19.34
Q1,Mar 2003,19.76
Q1,Apr 2003,20.87
Q1,May 2003,20.09
Q1,Jun 2003,20.93
Q1,Jul 2003,21.56
Q1,Aug 2003,21.65
Q1,Sep 2003,22.69
Q1,Oct 2003,21.45
Q1,Nov 2003,21.1
Q1,Dec 2003,22.46
Q1,Jan 2004,22.69
Q1,Feb 2004,21.77
Q1,Mar 2004,20.46
Q1,Apr 2004,21.45
Q1,May 2004,21.53
Q1,Jun 2004,23.44
Q1,Jul 2004,23.38
Q1,Aug 2004,22.47
Q1,Sep 2004,22.76
Q1,Oct 2004,23.02
Q1,Nov 2004,24.6
Q1,Dec 2004,24.52
Q1,Jan 2005,24.11
Q1,Feb 2005,23.15
Q1,Mar 2005,22.24
Q1,Apr 2005,23.28
Q1,May 2005,23.82
Q1,Jun 2005,22.93
Q1,Jul 2005,23.64
Q1,Aug 2005,25.35
Q1,Sep 2005,23.83
Q1,Oct 2005,23.8
Q1,Nov 2005,25.71
Q1,Dec 2005,24.29
Q1,Jan 2006,26.14
Q1,Feb 2006,25.04
Q1,Mar 2006,25.36
Q1,Apr 2006,22.5
Q1,May 2006,21.19
Q1,Jun 2006,21.8
Q1,Jul 2006,22.51
Q1,Aug 2006,24.13
Q1,Sep 2006,25.68
Q1,Oct 2006,26.96
Q1,Nov 2006,27.66
Q1,Dec 2006,28.13
Q1,Jan 2007,29.07
Q1,Feb 2007,26.63
Q1,Mar 2007,26.35
Q1,Apr 2007,28.3
Q1,May 2007,29.11
Q1,Jun 2007,27.95
Q1,Jul 2007,27.5
Q1,Aug 2007,27.34
Q1,Sep 2007,28.04
Q1,Oct 2007,35.03
Q1,Nov 2007,32.09
Q1,Dec 2007,34
Q1,Jan 2008,31.13
Q1,Feb 2008,26.07
Q1,Mar 2008,27.21
Q1,Apr 2008,27.34
Q1,May 2008,27.25
Q1,Jun 2008,26.47
Q1,Jul 2008,24.75
Q1,Aug 2008,26.36
Q1,Sep 2008,25.78
Q1,Oct 2008,21.57
Q1,Nov 2008,19.66
Q1,Dec 2008,18.91
Q1,Jan 2009,16.63
Q1,Feb 2009,15.81
Q1,Mar 2009,17.99
Q1,Apr 2009,19.84
Q1,May 2009,20.59
Q1,Jun 2009,23.42
Q1,Jul 2009,23.18
Q1,Aug 2009,24.43
Q1,Sep 2009,25.49
Q1,Oct 2009,27.48
Q1,Nov 2009,29.27
Q1,Dec 2009,30.34
Q1,Jan 2010,28.05
Q1,Feb 2010,28.67
Q1,Mar 2010,28.8
